512,0.01,50,50,2,0.2,1e-07,0.002275291731995013
512,0.01,50,50,2,0.2,1e-08,0.0023718480913278955
512,0.01,50,50,2,0.2,1e-09,0.002397692455754926
512,0.01,50,50,2,0.2,1e-06,0.002411050841005312
512,0.01,50,50,2,0.3,1e-07,0.0023200092462098434
512,0.01,50,50,2,0.1,1e-07,0.0023637580814667874
512,0.01,50,50,2,0.4,1e-07,0.0023741278616297573
512,0.01,50,50,2,0.0,1e-07,0.0023913691480023165
512,0.01,50,50,2,0.2,1e-07,0.002393092054666744
512,0.01,50,50,2,0.5,1e-07,0.002395036745454288
512,0.01,50,30,2,0.3,1e-07,0.002284011824263467
512,0.01,50,20,3,0.3,1e-07,0.0023132668019065425
512,0.01,50,20,2,0.3,1e-07,0.0023141681268397307
512,0.01,50,30,3,0.3,1e-07,0.0023196650617238546
512,0.01,50,50,3,0.3,1e-07,0.002340120037034568
512,0.01,50,40,2,0.3,1e-07,0.0023680747797091804
512,0.01,50,50,1,0.3,1e-07,0.002377376877444072
512,0.01,50,50,2,0.3,1e-07,0.002378715261713498
512,0.01,50,30,1,0.3,1e-07,0.0023828950270803435
512,0.01,50,40,3,0.3,1e-07,0.002394617003543923
512,0.01,50,40,1,0.3,1e-07,0.0024045992358070283
512,0.01,50,20,1,0.3,1e-07,0.0024348299717530607
512,0.01,30,32,4,0,0,0.002510834148981505
512,0.01,30,32,2,0,0,0.002906007666347755
512,0.01,30,32,3,0,0,0.0030392923444095585
