time	GDP	GDP_rate	2_add_value	3_add_value	2_ratio	3_ratio	av_GDP	urban_ratio	wea	tem	hum	win	dir	winclass	tembody	load
2017-01-01 00:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-1	85	5	9	4	-4	8419.79
2017-01-01 01:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-2	85	5	9	4	-4	8137.56
2017-01-01 02:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-2	84	5	9	4	-5	7863.68
2017-01-01 03:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-3	84	5	9	4	-5	7812.83
2017-01-01 04:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-3	84	12	9	3	-5	7676.27
2017-01-01 05:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	-3	85	12	9	3	-5	7700.73
2017-01-01 06:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	-4	85	12	8	3	-5	7917.7
2017-01-01 07:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	-3	83	10	9	2	-4	8244.89
2017-01-01 08:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	-2	81	10	9	2	-3	8729.03
2017-01-01 09:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	-1	79	10	9	2	-2	9549.72
2017-01-01 10:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	1	75	10	9	2	0	9746.23
2017-01-01 11:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	3	71	10	9	2	2	9895.42
2017-01-01 12:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	4	67	12	9	3	4	9526.86
2017-01-01 13:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	4	68	12	9	3	4	9552.04
2017-01-01 14:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	25	4	70	12	9	3	4	9634.43
2017-01-01 15:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	25	4	71	12	8	3	3	9491.66
2017-01-01 16:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	25	2	77	12	8	3	2	9665.21
2017-01-01 17:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	17	1	82	12	8	3	0	10098.7
2017-01-01 18:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	17	0	87	12	8	3	-1	10000.6
2017-01-01 19:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	17	-1	86	12	8	3	-2	9542.88
2017-01-01 20:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	-1	84	5	8	4	-2	9561.96
2017-01-01 21:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	-2	83	5	8	4	-3	9404.44
2017-01-01 22:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	-2	79	7	8	5	-3	9056.58
2017-01-01 23:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	-2	76	7	4	5	-3	8598.86
2017-01-02 00:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-2	72	7	4	5	-3	8066.72
2017-01-02 01:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-1	68	7	4	5	-3	7810.53
2017-01-02 02:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-1	64	7	4	5	-3	7643.93
2017-01-02 03:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	0	60	7	4	5	-4	7533.67
2017-01-02 04:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	0	57	7	8	5	-4	7574.95
2017-01-02 05:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-1	55	7	8	5	-4	7498.96
2017-01-02 06:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-1	52	7	9	5	-4	7927.47
2017-01-02 07:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	0	50	7	3	5	-3	8361.82
2017-01-02 08:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	1	48	7	1	5	-2	9368.87
2017-01-02 09:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	1	46	7	5	5	-2	10197.6
2017-01-02 10:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	3	43	7	3	5	0	10540.7
2017-01-02 11:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	4	40	7	8	5	2	10661.4
2017-01-02 12:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	6	37	7	4	5	3	10114.7
2017-01-02 13:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	6	37	7	4	5	3	10073.8
2017-01-02 14:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	5	37	7	4	5	3	10052.4
2017-01-02 15:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	5	37	7	4	5	3	9980.43
2017-01-02 16:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	4	41	7	4	5	2	10196.8
2017-01-02 17:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	3	45	7	8	5	0	10497.8
2017-01-02 18:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	1	49	5	8	4	-1	10648.9
2017-01-02 19:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	1	51	7	8	5	-2	10197.6
2017-01-02 20:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	0	54	7	9	5	-2	10156.2
2017-01-02 21:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-1	56	13	9	6	-3	9992.94
2017-01-02 22:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-1	57	13	9	6	-3	9670.84
2017-01-02 23:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-1	58	13	9	6	-2	9149.42
2017-01-03 00:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-1	59	13	9	6	-2	8544.79
2017-01-03 01:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	-1	59	13	9	6	-3	8286.77
2017-01-03 02:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	0	59	7	9	5	-3	8168.65
2017-01-03 03:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	0	59	7	9	5	-3	8033.77
2017-01-03 04:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	0	60	7	9	5	-3	7997.53
2017-01-03 05:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	0	60	7	9	5	-3	8060.58
2017-01-03 06:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	0	60	7	9	5	-3	8548.28
2017-01-03 07:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	1	58	7	9	5	-2	9277.92
2017-01-03 08:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	1	57	7	9	5	-1	10160.3
2017-01-03 09:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	2	55	7	8	5	-1	11117.9
2017-01-03 10:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	3	51	7	8	5	1	11492.8
2017-01-03 11:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	5	47	7	8	5	3	11642.5
2017-01-03 12:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	7	43	7	8	5	5	11003.5
2017-01-03 13:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	7	44	5	8	4	6	10938.2
2017-01-03 14:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	8	46	5	8	4	7	11247.2
2017-01-03 15:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	8	48	12	8	3	8	11138.5
2017-01-03 16:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	7	53	12	8	3	6	11138.6
2017-01-03 17:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	6	58	12	8	3	5	11301
2017-01-03 18:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	4	63	12	8	3	3	11342.1
2017-01-03 19:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	4	62	12	8	3	3	10873.8
2017-01-03 20:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	4	60	5	8	4	2	10586.5
2017-01-03 21:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	3	58	5	8	4	2	10460.9
2017-01-03 22:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	3	57	5	4	4	1	9996.62
2017-01-03 23:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	3	56	7	4	5	0	9433.02
2017-01-04 00:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	2	56	7	4	5	0	9012.17
2017-01-04 01:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	2	56	7	8	5	-1	8647.95
2017-01-04 02:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	1	56	7	8	5	-1	8535
2017-01-04 03:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	1	56	7	9	5	-2	8439.02
2017-01-04 04:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	1	55	7	3	5	-2	8380.94
2017-01-04 05:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	25	0	54	7	5	5	-3	8337.1
2017-01-04 06:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	25	0	54	7	7	5	-4	8682.06
2017-01-04 07:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	25	0	54	7	7	5	-3	9436.53
2017-01-04 08:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	17	1	54	13	5	6	-2	10392.6
2017-01-04 09:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	17	2	54	13	5	6	-1	11334.7
2017-01-04 10:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	17	4	53	13	5	6	1	11545.7
2017-01-04 11:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	25	5	52	6	5	7	2	11746.5
2017-01-04 12:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	25	7	51	6	5	7	4	10885.9
2017-01-04 13:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	25	7	54	6	5	7	4	11053.9
2017-01-04 14:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	7	56	6	1	7	4	11198.4
2017-01-04 15:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	7	59	6	1	7	4	11247.8
2017-01-04 16:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	16	6	66	13	5	6	3	11314
2017-01-04 17:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	5	73	13	5	6	2	11607.9
2017-01-04 18:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	4	81	7	5	5	1	11481.1
2017-01-04 19:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	14	3	81	7	5	5	0	10902.1
2017-01-04 20:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	25	2	81	13	5	6	-1	10769.2
2017-01-04 21:00:00	18595.4	3.6	7590.36	10786.7	1	6	11.9	82.9	25	2	81	13	5	6	-2	10465.6
